TEAM,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,FT/FGA,AST/TOV,YEAR,FG%,2P%,3P%,FT%,FT_MAX,FTA_MAX,ORB_MAX,DRB_MAX,AST_MAX,STL_MAX,BLK_MAX,TOV_MAX,PF_MAX,PTS_MAX,FT/FGA_MAX,AST/TOV_MAX,FG%_MAX,2P%_MAX,3P%_MAX,FT%_MAX,TEAM_OPP,FT_OPP,FTA_OPP,ORB_OPP,DRB_OPP,AST_OPP,STL_OPP,BLK_OPP,TOV_OPP,PF_OPP,FT/FGA_OPP,AST/TOV_OPP,FG%_OPP,2P%_OPP,3P%_OPP,FT%_OPP,FT_MAX_OPP,FTA_MAX_OPP,ORB_MAX_OPP,DRB_MAX_OPP,AST_MAX_OPP,STL_MAX_OPP,BLK_MAX_OPP,TOV_MAX_OPP,PF_MAX_OPP,PTS_MAX_OPP,FT/FGA_MAX_OPP,AST/TOV_MAX_OPP,FG%_MAX_OPP,2P%_MAX_OPP,3P%_MAX_OPP,FT%_MAX_OPP,GAME_ID,ANSWER
South Carolina ,0.666666667,0.655172414,1,0.677419355,0.782608696,0.647058824,0.384615385,0.44,0.052631579,0.395873071,0.213139801,2022,0.422522916,0.584346854,0.29491833,0.642857143,0.272727273,0.25,0.545454545,0.5,0.090909091,0.428571429,0.428571429,0,0,0.111111111,0.240506329,0.166666667,0.464285714,0.571428571,0.285714286,1,Howard ,0.142857143,0.068965517,0.12,0.258064516,0,0.352941176,0.230769231,0.68,0.526315789,0.129375951,0,0,0,0.114942529,1,0.272727273,0.166666667,0.090909091,0.166666667,0,0.142857143,0.142857143,0.375,0.2,0.055555556,0.065238559,0.00462963,0,0,0,1,152,1
Miami ,0.428571429,0.310344828,0.12,0.322580645,0.391304348,0.352941176,0.230769231,0.36,0.315789474,0.369863014,0.131016043,2022,0.793842365,0.864436341,0.572100313,0.886363636,0.181818182,0.083333333,0,0.25,0.181818182,0.285714286,0,0.25,0.2,0.222222222,0.082278481,0.259259259,0.464285714,0.571428571,0.5,1,South Florida ,0.380952381,0.310344828,0.32,0.193548387,0.391304348,0.529411765,0,0.4,0.473684211,0.309960529,0.119703826,0.529748685,0.439425949,0.654388715,0.772727273,0.363636364,0.333333333,0.181818182,0.416666667,0.181818182,0.285714286,0,0.375,0.6,0.416666667,0.066455696,0.12037037,0.296875,0.448979592,0.5,1,180,1
North Carolina ,0.80952381,0.724137931,0.32,0.419354839,0.608695652,0.235294118,0.230769231,0.48,0.578947368,0.698630137,0.155080214,2022,0.647536946,0.632443029,0.622188906,0.72826087,0.636363636,0.5,0.090909091,0.583333333,0.272727273,0.285714286,0.285714286,0.5,0.8,0.611111111,0.122362869,0.166666667,0.464285714,0.571428571,0.571428571,1,Stephen F. Austin ,0.571428571,0.482758621,0.56,0.225806452,0.434782609,0.352941176,0.076923077,0.36,0.947368421,0.419178082,0.144385027,0.389814324,0.361522911,0.475624257,0.765625,0.545454545,0.583333333,0.454545455,0.166666667,0.272727273,0.428571429,0.142857143,0.375,1,0.555555556,0.091586001,0.166666667,0.375,1,0.5,1,181,1
Arizona ,0.80952381,0.896551724,0.04,0.225806452,0.347826087,0.588235294,0.230769231,0.16,0.842105263,0.698630137,0.213139801,2022,0.610960591,0.649764151,0.36637931,0.553571429,0.636363636,0.916666667,0,0.416666667,0.272727273,0.571428571,0.285714286,0.125,0.8,0.666666667,0.113924051,0.166666667,0.407894737,1,0.5,0.666666667,Nevada-Las Vegas ,0.428571429,0.482758621,0.12,0.516129032,0.391304348,0,0.076923077,0.52,0.631578947,0.428571429,0.094251337,0.783391977,0.752358491,0.610079576,0.53125,0.181818182,0.166666667,0,0.666666667,0.363636364,0.142857143,0.142857143,0.5,0.8,0.277777778,0.071729958,0.074074074,0.625,0.614285714,0.6,1,168,1
Georgia ,0.952380952,0.965517241,0.56,0.548387097,0.652173913,0.352941176,0.461538462,0.48,0.105263158,0.764383562,0.165775401,2022,0.515862069,0.475516622,0.215517241,0.625,0.181818182,0.166666667,0.090909091,0.5,0.545454545,0.285714286,0.428571429,0.25,0.2,0.361111111,0.156118143,0.197530864,0.464285714,0.448979592,0.5,1,Dayton ,0.047619048,0.068965517,0.24,0.258064516,0.52173913,0.294117647,0.307692308,0.44,0.736842105,0.030821918,0.144385027,0.432650862,0.376391656,0.517241379,0.375,0,0,0.090909091,0.25,0.272727273,0.142857143,0.285714286,0.5,0.6,0.416666667,0,0.166666667,0.375,0.265306122,1,0.333333333,141,1
Iowa State ,0.666666667,0.827586207,0.4,0.483870968,0.173913043,0.058823529,0.461538462,0.16,0.473684211,0.489989463,0.121466769,2022,0.578885942,0.547169811,0.547413793,0.471153846,0.454545455,0.833333333,0.363636364,0.666666667,0.454545455,0.142857143,0.428571429,0.25,0.6,0.833333333,0.113924051,0.166666667,1,1,0.5,1,UT Arlington ,0.428571429,0.482758621,0.24,0.451612903,0.391304348,0.294117647,0.384615385,0.24,0.789473684,0.330092797,0.180035651,0.588542825,0.491093402,0.705818966,0.53125,0.545454545,0.75,0.181818182,0.416666667,0.272727273,0.428571429,0.285714286,0.375,0.8,0.361111111,0.105485232,0.166666667,0.583333333,0.485714286,1,1,184,1
Colorado ,0.428571429,0.379310345,0.4,0.258064516,0.608695652,0.411764706,0.307692308,0.2,0.789473684,0.297340854,0.304812834,2022,0.60020284,0.659634743,0.29491833,0.711538462,0.181818182,0.25,0.272727273,0.25,0.363636364,0.285714286,0.285714286,0.125,0.6,0.583333333,0.071729958,0.259259259,0.666666667,0.766233766,0.5,1,Creighton ,0.80952381,0.620689655,0.24,0.35483871,0.565217391,0.117647059,0.153846154,0.48,0.315789474,0.685652487,0.144385027,0.738656987,0.69836147,0.676043557,0.875,0.454545455,0.333333333,0.090909091,0.25,0.181818182,0.285714286,0.142857143,0.5,0.6,0.277777778,0.156118143,0.12037037,1,1,1,1,137,0
Iowa ,0.904761905,0.655172414,0,0.612903226,1,0.529411765,0.307692308,0.32,0.684210526,0.795765878,0.348565873,2022,0.925517241,1,0.74933687,0.94047619,0.545454545,0.416666667,0,0.416666667,0.818181818,0.428571429,0.428571429,0.375,0.6,0.583333333,0.240506329,0.351851852,1,1,0.5,1,Illinois State ,0.428571429,0.379310345,0.56,0.225806452,0.347826087,0.235294118,0.076923077,0.36,0.684210526,0.28304071,0.117647059,0.302379796,0.480169426,0.215517241,0.711538462,0.272727273,0.25,0.363636364,0.166666667,0.181818182,0.285714286,0.142857143,0.125,0.6,0.527777778,0.088607595,0.259259259,0.345238095,1,0.333333333,1,153,1
Louisville ,0.476190476,0.482758621,0.4,0.290322581,0.47826087,1,0.307692308,0.28,0.210526316,0.360730594,0.192513369,2022,0.769458128,0.736766646,0.592672414,0.609375,0.363636364,0.333333333,0.181818182,0.333333333,0.363636364,1,0.285714286,0,0.2,0.388888889,0.113924051,0.444444444,1,1,0.5,1,Albany ,0.285714286,0.172413793,0.12,0.290322581,0.304347826,0.352941176,0.153846154,0.76,0.473684211,0.287671233,0.049586777,0.532582688,0.579147268,0.36637931,1,0.272727273,0.166666667,0.181818182,0.333333333,0.272727273,0.285714286,0,0.5,0.2,0.222222222,0.240506329,0.166666667,0.375,0.571428571,0.333333333,1,126,1
Nebraska ,0.428571429,0.517241379,0.4,0.225806452,0.347826087,0.294117647,0.230769231,0.28,0.473684211,0.369863014,0.144385027,2022,0.354926108,0.191969241,0.654388715,0.485294118,0.454545455,0.416666667,0.363636364,0.25,0.272727273,0.428571429,0.285714286,0.125,0.6,0.388888889,0.088607595,0.166666667,0.375,0.357142857,0.5,0.80952381,Gonzaga ,0.476190476,0.413793103,0.28,0.483870968,0.52173913,0.352941176,0.307692308,0.4,0.578947368,0.410958904,0.156725627,0.647536946,0.673439768,0.446247465,0.732142857,0.090909091,0.083333333,0.272727273,0.25,0.272727273,0.428571429,0.285714286,0.375,0.4,0.388888889,0.088607595,0.074074074,0.75,0.742857143,1,1,150,0
Oregon ,0.428571429,0.413793103,0.56,0.709677419,0.565217391,0.352941176,0.923076923,0.56,0.684210526,0.269900037,0.125511167,2022,0.471575023,0.522834766,0.25862069,0.642857143,0.545454545,0.5,0.272727273,0.5,0.363636364,0.428571429,1,0.5,0.6,0.694444444,0.061181435,0.212962963,0.375,0.571428571,0.25,0.833333333,Belmont ,0.476190476,0.517241379,0.24,0.548387097,0.652173913,0.588235294,0.076923077,0.24,0.421052632,0.31545437,0.286987522,0.417775619,0.379668849,0.517241379,0.558823529,0.636363636,0.583333333,0.181818182,0.25,0.545454545,0.571428571,0.142857143,0.125,0.6,0.444444444,0.132007233,0.62962963,0.659090909,0.448979592,1,0.851851852,129,0
Tennessee ,0.952380952,0.931034483,0.84,0.516129032,0.565217391,0.411764706,0,0.64,0.421052632,0.669621273,0.110610751,2022,0.539959432,0.525851507,0.331564987,0.655172414,0.454545455,0.5,0.636363636,0.333333333,0.272727273,0.428571429,0,0.5,0.6,0.361111111,0.113924051,0.351851852,0.375,0.357142857,0.4,1,Buffalo ,0.238095238,0.275862069,0.56,0.129032258,0.608695652,0.705882353,0.076923077,0.52,0.947368421,0.143013699,0.144385027,0.40662069,0.349309299,0.517241379,0.5,0.090909091,0,0.636363636,0.166666667,0.545454545,1,0.142857143,0.75,0.6,0.527777778,0.037974684,0.305555556,0.375,1,0.384615385,1,131,1
Brigham Young ,0.380952381,0.344827586,0.24,0.548387097,0.52173913,0.294117647,0.076923077,0.52,0.526315789,0.342465753,0.124331551,2022,0.493103448,0.439425949,0.552738337,0.6875,0.636363636,0.5,0.272727273,0.583333333,0.636363636,0.428571429,0,0.5,0.6,0.416666667,0.106478034,0.12962963,1,1,1,1,Villanova ,0.476190476,0.517241379,0.32,0.322580645,0.52173913,0.470588235,0.307692308,0.2,0.526315789,0.387973067,0.264705882,0.460315605,0.579147268,0.331564987,0.558823529,0.272727273,0.416666667,0.363636364,0.583333333,0.181818182,0.857142857,0.285714286,0.125,0.6,0.527777778,0.139240506,0.259259259,0.318181818,0.4375,0.333333333,0.555555556,186,0
Michigan ,0.19047619,0.310344828,0.4,0.516129032,0.826086957,0.588235294,0.153846154,0.32,0.210526316,0.133250311,0.290228488,2022,0.689655172,0.695527807,0.446247465,0.318181818,0.090909091,0.333333333,0.363636364,0.333333333,0.272727273,0.428571429,0.142857143,0.125,0.2,0.5,0.050632911,0.351851852,0.732142857,0.724489796,0.5,1,American ,0.142857143,0.103448276,0.2,0.35483871,0.347826087,0.235294118,0.153846154,0.68,0.631578947,0.120403749,0.064171123,0.307441016,0.508086253,0,0.75,0.090909091,0.083333333,0.181818182,0.333333333,0.181818182,0.285714286,0.142857143,1,0.8,0.111111111,0.088607595,0.050925926,0.75,0.742857143,0.142857143,1,127,1
Mississippi ,0.380952381,0.379310345,0.28,0.225806452,0.608695652,0.176470588,0.384615385,0.32,0.736842105,0.309960529,0.217306757,2022,0.495032145,0.336597173,1,0.615384615,0.181818182,0.166666667,0.363636364,0.333333333,0.454545455,0.142857143,0.428571429,0.25,0.6,0.083333333,0.071729958,0.537037037,0.583333333,0.196428571,1,0.666666667,South Dakota ,0.476190476,0.448275862,0.04,0.419354839,0.739130435,0.470588235,0.153846154,0.28,0.473684211,0.44573235,0.288770053,0.838859416,0.790927791,0.689655172,0.666666667,0.363636364,0.5,0,0.333333333,0.545454545,0.428571429,0.142857143,0.25,0.4,0.388888889,0.168173599,0.305555556,1,1,1,1,179,0
Baylor ,0.333333333,0.344827586,0.32,0.451612903,0.565217391,0.176470588,0.230769231,0.64,0.894736842,0.299847793,0.110610751,2022,0.34137931,0.480169426,0.26193634,0.583333333,0.090909091,0.083333333,0.181818182,0.416666667,0.363636364,0.285714286,0.142857143,0.5,0.8,0.194444444,0.043600563,0.097222222,0.821428571,0.816326531,0.285714286,1,South Dakota ,0.571428571,0.517241379,0.08,0.35483871,0.347826087,0.529411765,0.153846154,0.44,0.684210526,0.5455278,0.09854851,0.49979716,0.32941856,0.818965517,0.705882353,0.272727273,0.25,0,0.416666667,0.363636364,0.571428571,0.142857143,0.25,0.8,0.277777778,0.240506329,0.166666667,0.5,1,0.666666667,1,177,0
Stanford ,0.476190476,0.517241379,0.56,0.741935484,0.782608696,0.647058824,0.615384615,0.48,0.263157895,0.348366702,0.197860963,2022,0.610397878,0.544443051,0.654388715,0.558823529,0.181818182,0.416666667,0.545454545,0.25,0.363636364,0.571428571,0.571428571,0.25,0,0.194444444,0.095840868,0.444444444,0.464285714,0.448979592,0.5,0.238095238,Montana State ,0.095238095,0.068965517,0.28,0.290322581,0.304347826,0.529411765,0.076923077,0.48,0.473684211,0.06512118,0.080213904,0.169230769,0.198277562,0.215517241,0.6875,0.090909091,0,0.181818182,0.166666667,0.090909091,0.428571429,0.142857143,0.625,0.2,0,0.037974684,0.166666667,0.0625,0,0.25,1,167,1
Kansas ,0.523809524,0.517241379,0.32,0.516129032,0.47826087,0.235294118,0.461538462,0.24,0.526315789,0.404330535,0.215686275,2022,0.687652948,0.642435984,0.560344828,0.632352941,0.272727273,0.25,0.272727273,0.333333333,0.181818182,0.285714286,0.285714286,0.25,0.4,0.361111111,0.065238559,0.259259259,0.625,0.614285714,1,0.733333333,Georgia Tech ,0.095238095,0.137931034,0.2,0.290322581,0.391304348,0.235294118,0.461538462,0.4,0.473684211,0.070260716,0.119703826,0.489432703,0.45565709,0.517241379,0.375,0.090909091,0.166666667,0.181818182,0.666666667,0.272727273,0.571428571,0.428571429,0.375,0.6,0.333333333,0.043600563,0.166666667,0.659090909,0.816326531,0.5,0.333333333,148,1
Virginia Tech ,0.666666667,0.620689655,0.24,0.516129032,0.47826087,0,0.076923077,0.28,0.421052632,0.534246575,0.192513369,2022,0.720689655,0.708048643,0.552738337,0.6875,0.818181818,1,0.363636364,0.083333333,0.363636364,0.142857143,0.142857143,0.25,0.6,1,0.156118143,0.166666667,0.583333333,0.571428571,0.5,1,Florida Gulf Coast ,0.380952381,0.310344828,0.04,0.419354839,0.739130435,0.352941176,0.076923077,0,0.684210526,0.282534247,1,0.656681034,0.741084387,0.628402904,0.772727273,0.272727273,0.333333333,0,0.416666667,0.727272727,0.428571429,0.142857143,0,0.8,0.444444444,0.240506329,0.814814815,0.583333333,1,0.6,1,146,0
Maryland ,0.714285714,0.517241379,0.36,0.483870968,0.739130435,0.352941176,0.230769231,0.28,0.263157895,0.534246575,0.288770053,2022,0.912715517,0.845626072,0.818965517,0.926470588,0.363636364,0.25,0.181818182,0.333333333,0.454545455,0.428571429,0.142857143,0.25,0.4,0.5,0.092827004,0.537037037,0.642857143,0.816326531,0.75,1,Delaware ,0.333333333,0.24137931,0.48,0.096774194,0.391304348,0.294117647,0.153846154,0.28,0.526315789,0.194942044,0.160427807,0.431830239,0.423282307,0.420689655,0.861111111,0.454545455,0.416666667,0.363636364,0.25,0.363636364,0.428571429,0.142857143,0.25,0.6,0.694444444,0.050632911,0.212962963,1,1,0.4,1,142,1
Ohio State ,0.904761905,0.965517241,0.36,0.161290323,0.391304348,0.705882353,0.538461538,0.28,0.684210526,0.780821918,0.160427807,2022,0.391502463,0.410377358,0.36637931,0.583333333,0.818181818,0.833333333,0.090909091,0.166666667,0.363636364,0.714285714,0.285714286,0.25,0.4,0.527777778,0.198312236,0.259259259,0.479166667,0.678571429,0.5,1,Missouri State ,0.523809524,0.517241379,0.68,0.516129032,0.347826087,0.235294118,0.461538462,0.72,0.789473684,0.397260274,0.060351413,0.379310345,0.292795468,0.818965517,0.632352941,0.363636364,0.333333333,0.181818182,0.333333333,0.181818182,0.428571429,0.571428571,0.375,0.6,0.25,0.084712756,0.074074074,0.375,0.357142857,0,1,166,1
Louisiana State ,0.952380952,1,0.32,0.516129032,0.695652174,0.529411765,0.692307692,0.32,0.789473684,0.611995557,0.24647545,2022,0.52693383,0.484034833,0.316091954,0.596774194,0.636363636,0.916666667,0.363636364,0.583333333,0.636363636,0.571428571,1,0.25,0.8,0.555555556,0.088607595,0.444444444,0.402173913,0.415584416,0.4,0.487179487,Jackson State ,0.857142857,0.931034483,0.44,0.516129032,0.391304348,0.235294118,0.307692308,0.48,0.947368421,0.601933924,0.101604278,0.44959432,0.290545695,0.879310345,0.568965517,0.545454545,0.75,0.181818182,0.583333333,0.272727273,0.142857143,0.285714286,0.375,0.8,0.416666667,0.14844649,0.351851852,0.583333333,0.571428571,0.666666667,0.666666667,155,1
Utah ,0.571428571,0.620689655,0.4,0.838709677,0.782608696,0.058823529,0.076923077,0.56,0.578947368,0.441449403,0.172695816,2022,0.753726363,0.690896444,0.789766407,0.5625,0.272727273,0.333333333,0.181818182,0.416666667,0.909090909,0.142857143,0,0.625,0.6,0.388888889,0.240506329,0.351851852,1,1,1,1,Arkansas ,0.380952381,0.448275862,0.48,0.193548387,0.130434783,0.470588235,0.461538462,0.12,0.526315789,0.221085486,0.117647059,0.422522916,0.480169426,0.228635682,0.5,0.272727273,0.416666667,0.090909091,0.25,0.181818182,0.285714286,0.285714286,0.125,0.6,0.5,0.054852321,0.12037037,0.333333333,0.532467532,0.333333333,0.666666667,128,1
Texas ,0.714285714,0.827586207,0.52,0.322580645,0.608695652,0.588235294,0.153846154,0.4,0.842105263,0.593764761,0.181406828,2022,0.579429251,0.495872642,0.637931034,0.519230769,0.090909091,0.416666667,0.090909091,0.25,0.909090909,0.571428571,0,0.125,0.4,0.111111111,0.071729958,0.490740741,0.583333333,0.571428571,1,1,Fairfield ,0.857142857,0.724137931,0.08,0.290322581,0.304347826,0.588235294,0,0.68,0.736842105,1,0.056149733,0.428078818,0.365964224,0.517241379,0.782608696,0.454545455,0.416666667,0,0.25,0.363636364,0.714285714,0,1,0.8,0.305555556,0.367088608,0.032921811,0.375,0.357142857,1,1,143,1
NC State ,0.714285714,0.689655172,0.68,0.451612903,0.565217391,0.470588235,0.384615385,0.36,0.736842105,0.470319635,0.184491979,2022,0.720689655,0.774187073,0.493103448,0.659090909,0.545454545,0.5,0.363636364,0.166666667,0.363636364,0.428571429,0.142857143,0.25,0.4,0.277777778,0.341772152,0.074074074,0.84375,1,0.666666667,0.833333333,Longwood ,0.571428571,0.482758621,0.56,0.290322581,0.304347826,0.176470588,0.153846154,0.44,0.684210526,0.392495533,0.087089381,0.379310345,0.391891892,0.422952586,0.765625,0.272727273,0.166666667,0.272727273,0.333333333,0.454545455,0.285714286,0.142857143,0.375,0.4,0.527777778,0.037974684,0.12037037,0.25,0.428571429,0.384615385,1,159,1
Washington State ,0.380952381,0.413793103,0.28,0.612903226,0.130434783,0.058823529,0.153846154,0.56,0.947368421,0.328767123,0.031141869,2022,0.20862069,0.295425717,0.160658307,0.553571429,0.363636364,0.333333333,0.181818182,0.75,0.090909091,0.142857143,0.142857143,0.375,0.6,0.388888889,0.240506329,0.074074074,0.236111111,0.415584416,0.25,0.777777778,Kansas State ,0.857142857,0.689655172,0.2,0.580645161,0.217391304,0.294117647,0.230769231,0.32,0.315789474,0.783923494,0.086047642,0.237605725,0.222475638,0.301724138,0.829545455,0.818181818,0.833333333,0.090909091,0.916666667,0.090909091,0.142857143,0.142857143,0.125,0.6,0.388888889,0.217491369,0.074074074,0.318181818,0.298701299,0.5,0.833333333,158,0
Notre Dame ,0.619047619,0.586206897,0.44,0.35483871,0.695652174,0.294117647,0.230769231,0.4,0.368421053,0.504991874,0.20608803,2022,0.876914085,0.857046592,0.659229209,0.671052632,0.454545455,0.5,0.090909091,0.666666667,0.909090909,0.142857143,0.285714286,0.625,0.2,0.361111111,0.12543153,0.166666667,0.659090909,1,0.625,1,Massachusetts ,0.571428571,0.413793103,0.28,0,0.565217391,0.529411765,0,0.24,0.631578947,0.426369863,0.251336898,0.624676724,0.532513477,0.705818966,0.910714286,0.272727273,0.166666667,0.181818182,0.083333333,0.454545455,0.714285714,0,0.75,0.4,0.694444444,0.059674503,0.212962963,1,1,0.75,1,162,1
Oklahoma ,0.714285714,0.75862069,0.28,0.64516129,0.608695652,0.352941176,0.307692308,0.28,0.526315789,0.543378995,0.240641711,2022,0.574384236,0.561826146,0.543478261,0.583333333,0.636363636,0.583333333,0.181818182,0.5,0.272727273,0.428571429,0.285714286,0.125,0.8,0.444444444,0.17146145,0.259259259,0.553571429,1,0.666666667,1,IUPUI ,0.571428571,0.482758621,0.44,0.419354839,0.47826087,0.235294118,0.384615385,0.24,0.578947368,0.374429224,0.215686275,0.436206897,0.583246942,0.297805643,0.765625,0.636363636,0.5,0.636363636,0.25,0.454545455,0.285714286,0.142857143,0.375,0.8,0.333333333,0.143135346,0.537037037,0.25,1,0.333333333,1,154,1
Kentucky ,0.80952381,0.75862069,0.28,0.258064516,0.347826087,0.411764706,0.076923077,0.48,0.789473684,0.698630137,0.090909091,2022,0.428078818,0.412760502,0.396551724,0.6875,0.545454545,0.416666667,0,0.416666667,0.181818182,0.857142857,0.142857143,0.375,0.8,0.305555556,0.303797468,0.074074074,1,1,0.333333333,1,Princeton ,0.619047619,0.620689655,0.12,0.451612903,0.304347826,0.294117647,0.153846154,0.6,0.631578947,0.56681313,0.064171123,0.701366298,0.667147245,0.456896552,0.625,0.727272727,0.75,0,0.416666667,0.090909091,0.428571429,0.285714286,0.625,0.6,0.638888889,0.139240506,0.074074074,0.6875,0.678571429,1,1,176,0
Indiana ,0.476190476,0.448275862,0.16,0.612903226,0.913043478,0.411764706,0.076923077,0.12,0.315789474,0.354452055,0.598930481,2022,0.816702586,0.816846361,0.431034483,0.666666667,0.363636364,0.333333333,0.090909091,0.333333333,0.454545455,0.428571429,0,0.125,0.4,0.361111111,0.14556962,0.444444444,0.5,0.540816327,0.5,1,Charlotte ,0.428571429,0.517241379,0.12,0.387096774,0.217391304,0.058823529,0.076923077,0.44,0.578947368,0.385083714,0.064171123,0.455172414,0.452859487,0.140086207,0.485294118,0.363636364,0.333333333,0,0.416666667,0.090909091,0.142857143,0.142857143,0.625,0.4,0.361111111,0.077757685,0.166666667,0.375,0.464285714,1,1,133,1
Central Florida ,0.476190476,0.517241379,0.24,0.387096774,0.739130435,0.352941176,0.692307692,0.08,0.684210526,0.367211666,0.593582888,2022,0.621579533,0.589203072,0.316091954,0.558823529,0.090909091,0.166666667,0,0.333333333,0.545454545,0.142857143,0.714285714,0,0.6,0.333333333,0.043600563,0.62962963,0.5,0.485714286,0.4,1,Florida ,0.523809524,0.551724138,0.52,0.290322581,0.347826087,0.117647059,0.230769231,0.52,0.842105263,0.419178082,0.084224599,0.311034483,0.341981132,0.275862069,0.583333333,0.363636364,0.333333333,0.181818182,0.5,0.454545455,0.142857143,0.142857143,0.5,0.8,0.305555556,0.156118143,0.259259259,0.423076923,0.532467532,1,1,144,1
Connecticut ,0.476190476,0.586206897,0.68,0.64516129,0.739130435,0.764705882,0.153846154,0.48,0.526315789,0.336740953,0.187165775,2022,0.61369017,0.517857143,0.718390805,0.473684211,0.090909091,0,0.272727273,0.166666667,0.363636364,0.571428571,0.142857143,0.25,0.4,0.194444444,0.071729958,0.444444444,0.6875,0.485714286,1,1,Mercer ,0.380952381,0.413793103,0.28,0.258064516,0.086956522,0.411764706,0.153846154,0.6,0.684210526,0.328767123,0.019607843,0.172044335,0.126133301,0.36637931,0.553571429,0.454545455,0.5,0.181818182,0,0,0.714285714,0,0.5,0.4,0.166666667,0.493670886,0,0.375,1,0.333333333,1,163,1
Brigham Young ,0.380952381,0.344827586,0.24,0.548387097,0.52173913,0.294117647,0.076923077,0.52,0.526315789,0.342465753,0.124331551,2022,0.493103448,0.439425949,0.552738337,0.6875,0.636363636,0.5,0.272727273,0.583333333,0.636363636,0.428571429,0,0.5,0.6,0.416666667,0.106478034,0.12962963,1,1,1,1,Villanova ,0.476190476,0.517241379,0.32,0.322580645,0.52173913,0.470588235,0.307692308,0.2,0.526315789,0.387973067,0.264705882,0.460315605,0.579147268,0.331564987,0.558823529,0.272727273,0.416666667,0.363636364,0.583333333,0.181818182,0.857142857,0.285714286,0.125,0.6,0.527777778,0.139240506,0.259259259,0.318181818,0.4375,0.333333333,0.555555556,186,0
